"","Area","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"54","China, Taiwan Province of",149400,161900,165900,176000,185400,233500,282100,312400,339400,387300,370800,399200,455700,462300,425800,460400,606300,723800,736100,717500,753900,719300,793600,825000,905400,981700,1088400,1123300,1118700,1145100,971945,861340,928180,1069348,1104717,1036335,1204457,1149317,1168589,1156959,1120601,1081916,1132403,1177513,1202433,1224655,1140889,1085621,1102627,1047664,1100218,1050294,1000557,965159.55,921601,917891,1042539,1028918,1066366,1013239,876037.56,879237.2
"55","Colombia",23700,27000,39200,42000,54200,143200,101600,125900,155500,163800,154400,196600,171700,222400,150300,181300,192300,206300,239100,251800,274600,244100,234600,253000,284900,277100,274800,294800,289500,299100,322200,364003,356774,394955,385300,380900,401100,407500,429000,535900,453600,532800,549863,515160,519160,550402,562352,538569,515813,558682,538753,606044,578023,599484,602101,576689,593150,598030,579081,562839,549373.33,619692.43
"56","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"57","Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,47,59,59,59,59,160,146,146,146,146,146,59,25,24,-443,-443,13,311,311,206
"58","Costa Rica",0,0,0,0,0,0,0,0,0,0,5600,4400,1300,4400,2700,2700,2700,2100,9100,13700,8500,8400,13000,16000,10400,10400,14800,14800,13200,12700,11800,12543,15271,17169,20458,13144,15000,15000,25100,18900,21183,22210,20463,36885,37654,63328,59753,45551,28464,28147,27727,26047,22038,190021,186315,187376,186408,187494,187071,184624,185402.94,186561.25
"59","Croatia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110977,109922,103418,90105,102400,77800,63600,58600,93700,79000,81000,81000,67000,56000,65000,51001,51000,38470,54665,62499,44085,768,850,524,-316,-1354,-1257,-231,860,-1955,-1955
"60","Cuba",43300,31400,37500,30700,27500,31800,35000,67500,71500,63700,75000,66000,74000,74000,75000,75000,68500,46600,67900,77800,63500,74900,79700,79300,94300,99600,102700,85100,94900,94900,94900,52909,52546,52968,57200,55200,53400,4400,5400,5400,4400,3400,3900,7042,7042,3855,3655,3435,1970,2034,2874,2874,2922,2196,3307,3872,2253,3017,1782,4237,4237,5571
"61","Cyprus",0,0,0,0,0,0,0,0,0,0,100,200,200,0,0,0,0,0,700,400,500,300,100,100,100,600,1600,1600,2100,1500,1800,2934,3124,3603,4400,4300,3200,3200,2600,1900,2560,4160,2751,2218,2279,1685,1304,706,7,114,31,149,59,83,95,91,340,791,317,337,282,190
"62","Czechia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600518,421717,425000,365400,397800,452400,437600,466000,493000,523000,548000,549960,583602,590578,580985,528653,479180,508168,517974,614315,457569,493569,639976,1068567,1098584,1035458,1194248,1196527,1212339,1231226
"63","Czechoslovakia",567800,571400,572500,576300,585000,572300,595000,613600,561000,609400,614400,580400,580700,594400,701000,757000,785000,791000,788000,876000,916000,1043000,1112300,1146800,1138300,1121900,1119900,1215200,1091800,1169100,980400,563500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Democratic People's Republic of Korea",3000,3000,3000,15000,20000,25000,30000,30000,35000,40000,40000,45000,45000,45000,68000,89000,93000,97000,101000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,107230,148849,161765,157609,130022,117522,117400,117400,117400,150600,150600,150600,150600,150600,150600,140600,143865,123238,107749,109204,106814,113854,108798,109184,108239,107786,107774,124169,106105,106105,107604
"65","Democratic Republic of the Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,26,26,6,6,6,6,6,202,28,-54,-54,39,-12,-48,61,781,591,464,654,491,254,121,969,969,1027,238,238,775
"66","Denmark",46700,59900,61200,67200,74100,81400,66100,168000,163900,190300,131300,137400,141700,156700,95800,105000,102900,142100,148200,138400,158600,145600,180900,189900,178200,179500,186600,170700,155200,133000,139300,188923,169416,178300,160500,168300,167700,87620,60627,51350,50986,63210,62221,64494,71785,57540,72235,66235,61623,67320,47985,60836,53461,49766,19335,42597,42597,58605,32019,32019,32019,32019
"67","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,2075,379,399,3700,3700,3700,3700,3700,3679,3679,3682,73,20,515,815,14507,8375,4747,9690,5371,2877,3738,3100,3100,3124
"68","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,0,31,30,78,78,78,78,78,78,76,76,76,76,76,76,76,76,47,47,47,47,47,47,47,47,47
"69","Dominican Republic",0,0,0,0,0,0,0,5900,4300,5400,6000,6000,6000,6000,6000,6000,6000,1800,3800,4000,4000,4000,4000,100,100,100,100,100,2300,253,320,102,255,269,1100,1400,200,150,0,0,0,0,0,589,589,984,900,920,446,2851,6130,11461,14484,13297,14060,10753,8642,11206,13318,18689,21398.4,14040
"70","Eastern Africa",4000,2700,3400,5500,5700,5000,5000,16600,17800,21500,27800,28300,34400,41800,44573,59900,62700,76800,112200,116000,119900,110200,107200,128100,118200,116500,159200,159700,157600,159700,159100,188196,201809,166360,176771,176763,187210,195325,192811,194281,198236,215705,217187,244224,236348,255722,249363,247819,125093.2,79182,81087,80282,96326,91714,85275,90881,79479,82297,88746,99035,107525.09,104449.46
"71","Eastern Asia",6116000,6371400,7347800,7569500,7786100,8613800,9296400,10432340,11399300,12744800,12661800,13009200,14045700,14162300,12828400,13836500,14186352,15409700,16662900,17275000,15899000,15817500,17221600,18286900,21592400,22930300,26709500,29179600,29305900,29276000,30808445,31817761,33653859,37455208,42569027,33242158,37281795,36869768,37121053,35627243,35511530,37073450,38093465,39781196,40743918,42785358,43815305,45317071,43964058,45237963,48636966,47783296,46111660,47194239.55,47822420,48426072,51583151,53022699,55359245,57578354,59504047.29,60821025.66
"72","Eastern Europe",4566100,4881800,5123500,5313700,5717600,6340900,6870600,7282700,7421400,8432200,8840400,9026500,9440800,10154500,10654000,10972300,11245400,11485500,10896200,11060000,11195400,11319600,12017500,12224600,12474000,12362500,12710000,13069600,13587200,12459800,10527600,7348619,5897027,4858443,5738618,4922351,4823520,5369054,6358271,7157365,7408590,7642470,8005850,8391198,8486562,8454266,8717202,8713665,8410653,8961470,9511674,9074333,9249014,9199969,9759805,10979837,11108007,11479420,11317480,11776685,12397428,12582341
"73","Ecuador",0,0,0,0,0,0,0,0,1100,2200,4000,4100,5300,6800,7900,8100,8900,10200,9300,10900,61600,61800,58300,30500,7200,10400,15600,9300,36900,9000,6100,5666,9544,13900,8500,7400,15000,15700,16500,16800,20500,21722,25100,25836,25836,23074,24779,25902,34285,38192,36596,38280,44697,38140,37986,40376,40747,41422,39856,45852,39094.8,39409.22
